"cod_rgint";"interp_homem_60_69_2000";"interp_homem_60_69_2001";"interp_homem_60_69_2002";"interp_homem_60_69_2003";"interp_homem_60_69_2004";"interp_homem_60_69_2005";"interp_homem_60_69_2006";"interp_homem_60_69_2007";"interp_homem_60_69_2008";"interp_homem_60_69_2009";"interp_homem_60_69_2010";"interp_homem_60_69_2011";"interp_homem_60_69_2012";"interp_homem_60_69_2013";"interp_homem_60_69_2014";"interp_homem_60_69_2015";"interp_homem_60_69_2016";"interp_homem_60_69_2017";"interp_homem_60_69_2018";"interp_homem_60_69_2019";"interp_homem_60_69_2020";"interp_homem_60_69_2021";"interp_homem_60_69_2022";"interp_homem_60_69_2023";"interp_homem_60_60_2024";"interp_mulher_60_69_2000";"interp_mulher_60_69_2001";"interp_mulher_60_69_2002";"interp_mulher_60_69_2003";"interp_mulher_60_69_2004";"interp_mulher_60_69_2005";"interp_mulher_60_69_2006";"interp_mulher_60_69_2007";"interp_mulher_60_69_2008";"interp_mulher_60_69_2009";"interp_mulher_60_69_2010";"interp_mulher_60_69_2011";"interp_mulher_60_69_2012";"interp_mulher_60_69_2013";"interp_mulher_60_69_2014";"interp_mulher_60_69_2015";"interp_mulher_60_69_2016";"interp_mulher_60_69_2017";"interp_mulher_60_69_2018";"interp_mulher_60_69_2019";"interp_mulher_60_69_2020";"interp_mulher_60_69_2021";"interp_mulher_60_69_2022";"interp_mulher_60_69_2023";"interp_mulher_60_69_2024";"interp_homem_70_79_2000";"interp_homem_70_79_2001";"interp_homem_70_79_2002";"interp_homem_70_79_2003";"interp_homem_70_79_2004";"interp_homem_70_79_2005";"interp_homem_70_79_2006";"interp_homem_70_79_2007";"interp_homem_70_79_2008";"interp_homem_70_79_2009";"interp_homem_70_79_2010";"interp_homem_70_79_2011";"interp_homem_70_79_2012";"interp_homem_70_79_2013";"interp_homem_70_79_2014";"interp_homem_70_79_2015";"interp_homem_70_79_2016";"interp_homem_70_79_2017";"interp_homem_70_79_2018";"interp_homem_70_79_2019";"interp_homem_70_79_2020";"interp_homem_70_79_2021";"interp_homem_70_79_2022";"interp_homem_70_79_2023";"interp_homem_60_60_2024";"interp_mulher_70_79_2000";"interp_mulher_70_79_2001";"interp_mulher_70_79_2002";"interp_mulher_70_79_2003";"interp_mulher_70_79_2004";"interp_mulher_70_79_2005";"interp_mulher_70_79_2006";"interp_mulher_70_79_2007";"interp_mulher_70_79_2008";"interp_mulher_70_79_2009";"interp_mulher_70_79_2010";"interp_mulher_70_79_2011";"interp_mulher_70_79_2012";"interp_mulher_70_79_2013";"interp_mulher_70_79_2014";"interp_mulher_70_79_2015";"interp_mulher_70_79_2016";"interp_mulher_70_79_2017";"interp_mulher_70_79_2018";"interp_mulher_70_79_2019";"interp_mulher_70_79_2020";"interp_mulher_70_79_2021";"interp_mulher_70_79_2022";"interp_mulher_70_79_2023";"interp_mulher_70_79_2024";"interp_homem_80_mais_2000";"interp_homem_80_mais_2001";"interp_homem_80_mais_2002";"interp_homem_80_mais_2003";"interp_homem_80_mais_2004";"interp_homem_80_mais_2005";"interp_homem_80_mais_2006";"interp_homem_80_mais_2007";"interp_homem_80_mais_2008";"interp_homem_80_mais_2009";"interp_homem_80_mais_2010";"interp_homem_80_mais_2011";"interp_homem_80_mais_2012";"interp_homem_80_mais_2013";"interp_homem_80_mais_2014";"interp_homem_80_mais_2015";"interp_homem_80_mais_2016";"interp_homem_80_mais_2017";"interp_homem_80_mais_2018";"interp_homem_80_mais_2019";"interp_homem_80_mais_2020";"interp_homem_80_mais_2021";"interp_homem_80_mais_2022";"interp_homem_80_mais_2023";"interp_homem_60_60_2024";"interp_mulher_80_mais_2000";"interp_mulher_80_mais_2001";"interp_mulher_80_mais_2002";"interp_mulher_80_mais_2003";"interp_mulher_80_mais_2004";"interp_mulher_80_mais_2005";"interp_mulher_80_mais_2006";"interp_mulher_80_mais_2007";"interp_mulher_80_mais_2008";"interp_mulher_80_mais_2009";"interp_mulher_80_mais_2010";"interp_mulher_80_mais_2011";"interp_mulher_80_mais_2012";"interp_mulher_80_mais_2013";"interp_mulher_80_mais_2014";"interp_mulher_80_mais_2015";"interp_mulher_80_mais_2016";"interp_mulher_80_mais_2017";"interp_mulher_80_mais_2018";"interp_mulher_80_mais_2019";"interp_mulher_80_mais_2020";"interp_mulher_80_mais_2021";"interp_mulher_80_mais_2022";"interp_mulher_80_mais_2023";"interp_mulher_80_mais_2024"
1501;40556;42307;44133;46038;48025;50098;52260;54516;56869;59323;61884;64519;67265;70129;73115;76227;79473;82856;86383;90061;93895;97892;102060;106405;110935;48516;50572;52715;54949;57278;59705;62235;64872;67621;70487;73474;76523;79699;83006;86451;90038;93775;97666;101719;105940;110336;114915;119684;124651;129823;19673;20487;21335;22217;23137;24094;25091;26129;27210;28336;29508;30788;32123;33516;34970;36487;38069;39720;41443;43240;45116;47072;49114;51244;53467;25915;27027;28187;29396;30657;31973;33344;34775;36267;37823;39446;41083;42789;44565;46415;48342;50348;52438;54615;56882;59243;61703;64264;66932;69710;7727;8051;8389;8741;9108;9490;9888;10303;10735;11186;11655;12114;12590;13085;13600;14135;14691;15269;15870;16495;17144;17818;18519;19248;20005;13786;14330;14896;15483;16095;16730;17390;18076;18790;19531;20302;21137;22007;22912;23855;24836;25858;26922;28030;29183;30384;31634;32935;34290;35701
1502;20601;21325;22074;22850;23653;24484;25345;26236;27158;28112;29100;30140;31217;32333;33488;34685;35924;37208;38538;39915;41341;42819;44349;45934;47575;19077;19774;20496;21245;22022;22826;23660;24525;25421;26349;27312;28430;29593;30805;32065;33378;34744;36166;37646;39187;40791;42460;44198;46007;47890;10710;11099;11503;11921;12355;12804;13269;13752;14252;14770;15307;15855;16424;17012;17622;18253;18907;19585;20286;21013;21766;22546;23354;24191;25058;9918;10322;10742;11179;11635;12108;12601;13114;13648;14204;14782;15346;15931;16538;17169;17823;18503;19208;19941;20701;21490;22309;23160;24043;24960;4399;4551;4708;4871;5039;5213;5393;5580;5772;5972;6178;6408;6646;6892;7149;7414;7690;7975;8272;8579;8898;9228;9571;9927;10295;5041;5214;5393;5578;5770;5968;6173;6385;6605;6831;7066;7352;7650;7960;8283;8618;8967;9331;9709;10102;10511;10937;11380;11841;12321
1503;13467;14041;14639;15263;15913;16591;17298;18034;18803;19604;20439;21359;22321;23327;24377;25475;26622;27821;29074;30383;31752;33182;34676;36238;37870;9949;10453;10984;11540;12126;12740;13386;14065;14778;15528;16315;17244;18226;19264;20361;21521;22747;24042;25411;26859;28388;30005;31714;33520;35429;5657;5992;6347;6723;7122;7544;7991;8464;8966;9497;10060;10477;10912;11365;11836;12328;12839;13372;13927;14505;15106;15733;16386;17066;17774;3998;4279;4581;4903;5248;5617;6013;6436;6889;7374;7893;8297;8723;9170;9639;10133;10653;11198;11772;12375;13010;13676;14377;15114;15888;1643;1766;1899;2042;2195;2360;2538;2728;2934;3154;3391;3578;3774;3982;4201;4432;4676;4934;5205;5492;5794;6113;6449;6804;7178;1715;1807;1905;2007;2115;2229;2349;2476;2609;2750;2898;3089;3292;3509;3740;3987;4249;4529;4828;5146;5485;5846;6231;6641;7079
1504;6406;6712;7033;7370;7722;8091;8478;8884;9308;9754;10220;10537;10864;11200;11548;11906;12275;12656;13048;13452;13870;14300;14743;15200;15671;4388;4627;4878;5143;5423;5718;6028;6356;6702;7066;7450;7794;8153;8529;8922;9333;9764;10214;10685;11178;11693;12232;12796;13386;14003;2441;2607;2785;2975;3177;3394;3625;3872;4135;4417;4718;4893;5075;5264;5459;5662;5873;6091;6317;6552;6796;7048;7310;7582;7863;1675;1796;1926;2065;2214;2374;2546;2730;2927;3139;3366;3530;3703;3884;4074;4273;4481;4700;4930;5171;5423;5688;5966;6257;6563;753;801;852;906;964;1025;1090;1159;1233;1312;1395;1481;1572;1669;1772;1881;1997;2120;2251;2389;2537;2693;2859;3035;3222;630;666;703;743;785;829;876;926;978;1034;1092;1164;1240;1321;1408;1501;1599;1704;1816;1935;2062;2198;2342;2496;2660
1505;13825;14266;14721;15190;15675;16175;16691;17223;17772;18339;18924;19688;20482;21308;22168;23063;23993;24961;25968;27016;28106;29240;30420;31647;32924;12381;12754;13138;13534;13942;14362;14794;15240;15699;16172;16659;17428;18233;19076;19957;20879;21843;22852;23907;25012;26167;27376;28640;29963;31347;6869;7118;7376;7644;7921;8208;8506;8814;9134;9465;9808;10176;10558;10954;11365;11792;12234;12694;13170;13664;14177;14709;15261;15834;16428;6404;6646;6896;7156;7426;7706;7997;8298;8611;8936;9273;9630;10001;10387;10787;11202;11634;12082;12548;13031;13533;14055;14596;15158;15742;2360;2466;2577;2692;2813;2940;3072;3210;3354;3505;3662;3820;3985;4157;4337;4524;4719;4923;5136;5358;5589;5830;6082;6345;6619;3045;3145;3248;3354;3464;3578;3695;3816;3941;4071;4204;4390;4583;4786;4997;5218;5448;5688;5940;6202;6476;6761;7060;7372;7697
1506;4287;4432;4582;4738;4898;5064;5236;5413;5596;5786;5982;6273;6578;6898;7234;7586;7955;8342;8748;9174;9620;10088;10579;11094;11634;3225;3360;3501;3647;3800;3959;4125;4297;4477;4665;4860;5106;5364;5636;5921;6221;6535;6866;7213;7578;7962;8365;8788;9233;9700;1855;1942;2034;2129;2230;2335;2444;2559;2680;2806;2938;3069;3206;3349;3499;3655;3819;3989;4167;4353;4548;4751;4963;5185;5416;1372;1445;1522;1603;1688;1778;1873;1972;2077;2188;2304;2414;2530;2651;2778;2911;3051;3197;3350;3510;3678;3854;4039;4232;4435;575;612;650;692;736;783;832;885;941;1001;1065;1120;1177;1238;1302;1368;1439;1513;1591;1672;1758;1849;1944;2044;2149;505;537;572;608;647;689;733;780;830;883;940;996;1055;1118;1184;1254;1329;1408;1492;1580;1674;1774;1879;1991;2109
1507;5928;6149;6378;6616;6863;7119;7384;7660;7945;8242;8549;8852;9165;9490;9826;10174;10534;10908;11294;11694;12108;12537;12981;13441;13917;5583;5762;5947;6137;6334;6537;6747;6963;7187;7417;7655;7933;8222;8521;8831;9152;9484;9829;10187;10557;10941;11339;11751;12178;12621;3288;3388;3491;3598;3707;3820;3937;4057;4180;4308;4439;4600;4767;4940;5119;5305;5497;5696;5903;6117;6339;6569;6807;7054;7310;2861;2975;3093;3216;3344;3477;3615;3759;3908;4063;4225;4348;4475;4605;4739;4878;5020;5166;5317;5472;5631;5795;5964;6138;6317;1662;1697;1732;1768;1805;1843;1882;1921;1961;2002;2044;2100;2159;2218;2279;2342;2407;2474;2542;2612;2685;2759;2835;2913;2994;1896;1937;1980;2023;2067;2112;2158;2205;2253;2302;2352;2420;2489;2561;2635;2710;2788;2869;2951;3036;3124;3214;3306;3401;3499
1601;4908;5174;5454;5749;6060;6388;6734;7098;7482;7887;8314;8758;9226;9719;10238;10785;11361;11968;12607;13280;13990;14737;15524;16353;17227;5112;5397;5699;6017;6353;6708;7082;7477;7895;8336;8801;9291;9808;10354;10931;11539;12181;12859;13575;14331;15129;15971;16860;17799;18789;2165;2304;2452;2610;2778;2957;3147;3349;3565;3794;4038;4218;4406;4602;4807;5021;5244;5478;5722;5977;6243;6521;6811;7114;7431;2371;2534;2707;2893;3091;3303;3530;3772;4030;4307;4602;4809;5026;5252;5488;5735;5993;6263;6545;6839;7147;7469;7805;8156;8523;982;1028;1077;1128;1181;1237;1295;1357;1421;1488;1558;1637;1721;1809;1901;1998;2099;2206;2319;2437;2561;2692;2829;2973;3125;1422;1490;1562;1637;1716;1799;1885;1976;2071;2171;2275;2380;2491;2606;2727;2854;2986;3124;3269;3421;3579;3745;3919;4101;4291
1602;874;937;1006;1079;1157;1241;1331;1428;1531;1643;1762;1835;1911;1990;2072;2157;2246;2339;2436;2536;2641;2750;2864;2982;3106;643;681;722;764;810;858;909;962;1019;1080;1144;1209;1279;1352;1429;1511;1598;1689;1786;1888;1996;2110;2231;2359;2494;374;400;428;458;490;524;560;600;641;686;734;770;808;848;889;933;979;1027;1078;1131;1186;1245;1306;1370;1438;274;293;313;335;358;383;409;437;467;500;534;560;587;615;644;675;708;742;777;815;854;895;938;983;1030;170;177;184;192;200;208;217;226;235;245;255;267;279;292;306;320;335;351;367;385;403;421;441;462;483;148;157;166;175;185;196;207;219;232;245;259;268;277;287;296;307;317;328;339;351;363;375;388;401;415
1701;7273;7615;7973;8348;8740;9151;9581;10032;10503;10997;11514;12044;12599;13179;13786;14421;15085;15780;16507;17267;18062;18894;19764;20674;21626;6265;6577;6905;7249;7610;7990;8388;8806;9245;9705;10189;10765;11374;12018;12698;13416;14175;14977;15824;16720;17666;18665;19721;20837;22015;3686;3871;4065;4269;4483;4708;4944;5192;5452;5726;6013;6288;6575;6876;7190;7519;7863;8222;8598;8991;9403;9832;10282;10752;11244;3163;3343;3532;3733;3945;4169;4405;4655;4920;5199;5494;5765;6050;6349;6663;6992;7337;7700;8080;8479;8898;9338;9799;10283;10791;1484;1569;1659;1754;1855;1961;2073;2192;2318;2451;2591;2721;2857;3000;3150;3307;3473;3647;3829;4021;4222;4433;4655;4888;5132;1476;1557;1642;1732;1827;1927;2032;2143;2261;2384;2515;2655;2802;2958;3122;3295;3478;3671;3875;4090;4317;4557;4810;5077;5359
1702;11412;11749;12096;12454;12822;13200;13590;13992;14405;14831;15269;15723;16190;16672;17167;17678;18204;18745;19302;19876;20467;21075;21702;22347;23012;10290;10608;10935;11273;11621;11980;12350;12731;13124;13529;13947;14486;15046;15628;16232;16860;17512;18189;18892;19623;20381;21169;21988;22838;23721;5850;6100;6361;6633;6917;7213;7522;7844;8179;8529;8894;9163;9440;9726;10020;10324;10636;10958;11289;11631;11983;12345;12719;13104;13500;5014;5266;5532;5810;6103;6410;6732;7071;7427;7801;8194;8469;8753;9046;9350;9664;9988;10323;10669;11027;11397;11779;12174;12582;13004;2185;2301;2423;2551;2687;2829;2979;3137;3303;3479;3663;3815;3973;4138;4309;4488;4674;4867;5069;5279;5498;5726;5963;6210;6467;2307;2405;2506;2612;2723;2838;2958;3084;3214;3350;3492;3661;3839;4025;4220;4425;4639;4864;5100;5348;5607;5879;6164;6463;6776
